doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
vinuni-library-borrowing-privileges,data/vinuni-services/vinuni-library-borrowing-privileges.md,Quy định mượn sách thư viện VinUniversity,https://library.vinuni.edu.vn/borrowing-priviledge/,2026-08-03,2026-08-03,public-page
vinuni-library-borrow-return-renew,data/vinuni-services/vinuni-library-borrow-return-renew.md,Hướng dẫn mượn, trả và gia hạn sách thư viện,https://library.vinuni.edu.vn/borrow-renew-return/,2026-08-03,2026-08-03,public-page
vinuni-library-faq,data/vinuni-services/vinuni-library-faq.md,Câu hỏi thường gặp về thư viện VinUniversity,https://library.vinuni.edu.vn/faq/,2026-08-03,2026-08-03,public-page
vinuni-dormitory-fees,data/vinuni-services/vinuni-dormitory-fees.md,Quy định và biểu phí ký túc xá VinUniversity,https://policy.vinuni.edu.vn/all-policies/financial-regulations-and-tariff-for-student-2/,2026-08-03,2025-08-01,public-page
vinuni-dormitory-residence-life,data/vinuni-services/vinuni-dormitory-residence-life.md,Cuộc sống tại Ký túc xá VinUniversity,https://admissions.vinuni.edu.vn/undergraduate/faqs/residence-life-in-dorm/,2026-08-03,2026-08-03,public-page
vinuni-course-registration,data/vinuni-services/vinuni-course-registration.md,Hướng dẫn đăng ký môn học VinUniversity,https://registrar.vinuni.edu.vn/academics/class-schedule-course-registration/,2026-08-03,2026-08-03,public-page
vinuni-scholarships,data/vinuni-services/vinuni-scholarships.md,Học bổng VinUniversity - Chương trình học bổng theo thành tích,https://admissions.vinuni.edu.vn/scholarship-and-financial-aid/undergraduate-programs/scholarships/,2026-08-03,2026-08-03,public-page
vinuni-financial-aid,data/vinuni-services/vinuni-financial-aid.md,Hỗ trợ tài chính (Financial Aid) - VinUniversity,https://admissions.vinuni.edu.vn/scholarship-and-financial-aid/undergraduate-programs/financial-aids/,2026-08-03,2026-08-03,public-page
